environment,type,average_reward,update_steps,hidden_size,reward_array
CartPole,type1,134.642,4,32,
CartPole,type2,143.2914,4,32,
CartPole,type1,153.5496,8,32,
CartPole,type2,198.483,8,32,
CartPole,type1,174.7806,12,32,
CartPole,type2,187.1522,12,32,
CartPole,type1,211.2626,4,48,
CartPole,type2,215.4286,4,48,
CartPole,type1,216.2336,8,48,
CartPole,type2,249.968,8,48,
CartPole,type1,208.6832,12,48,
CartPole,type2,237.2726,12,48,
CartPole,type1,229.932,4,64,
CartPole,type2,248.6582,4,64,
CartPole,type1,203.7166,8,64,
CartPole,type2,259.5008,8,64,
CartPole,type1,244.4304,12,64,
CartPole,type2,254.878,12,64,
Acrobot,type1,-114.9722,4,32,
Acrobot,type2,-113.8212,4,32,
Acrobot,type1,-120.2644,8,32,
Acrobot,type2,-113.1202,8,32,
Acrobot,type1,-111.8398,12,32,
Acrobot,type2,-142.1142,12,32,
Acrobot,type1,-112.831,4,48,
Acrobot,type2,-109.5464,4,48,
Acrobot,type1,-108.6986,8,48,
Acrobot,type2,-110.4154,8,48,
Acrobot,type1,-104.7134,12,48,
Acrobot,type2,-109.5388,12,48,
Acrobot,type1,-113.8548,4,64,
Acrobot,type2,-110.7262,4,64,
Acrobot,type1,-115.2734,8,64,
Acrobot,type2,-111.2374,8,64,
Acrobot,type1,-108.6806,12,64,
Acrobot,type2,-108.8652,12,64,